************************************************************************
        TABLE OF ISOTOPES  0.780E-02  0.100E+01

        NO. SYMBOL T/F MASSNR PROTON
         163  =  NGIS           1  =  ISOMERS
     84 T  1  AL 27  +  1  PROT   ->  1  C  12  +  1  O  16   0.000E+00  VITAL  (v,v)  99   1.000E+00  -4.989E+18
     85 T  1  MG 24  +  1  HE  4  ->  1  C  12  +  1  O  16   0.000E+00  VITAL  (v,v)  99   1.000E+00  -6.534E+18
     86 T  1  SI 27  +  1  NEUT   ->  1  C  12  +  1  O  16   0.000E+00  VITAL  (v,v)  99   1.000E+00   4.094E+17
     87 T  1  P  31  +  1  PROT   ->  2  O  16  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00  -7.408E+18
     88 T  1  SI 28  +  1  HE  4  ->  2  O  16  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00  -9.257E+18
     89 T  1  S  31  +  1  NEUT   ->  2  O  16  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00  -1.447E+18
     90 T  1  C  11  +  0  OOOOO  ->  1  B  11  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   2.667E+18
     91 F  1  N  13  +  0  OOOOO  ->  1  C  13  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
     92 F  1  C  14  +  0  OOOOO  ->  1  N  14  +  0  OOOOO   0.000E+00  VITAL  (-,g)  13   1.000E+00   0.000E+00
     93 F  1  F  17  +  0  OOOOO  ->  1  O  17  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
     94 F  1  F  18  +  0  OOOOO  ->  1  O  18  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
     95 F  1  NA 22  +  0  OOOOO  ->  1  NE 22  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
     96 F  1  MG 23  +  0  OOOOO  ->  1  NA 23  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
     97 F  1  AL 26  +  0  OOOOO  ->  1  MG 26  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
     98 F  1  SI 27  +  0  OOOOO  ->  1  AL 27  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
     99 F  1  S  31  +  0  OOOOO  ->  1  P  31  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
    100 F  1  O  14  +  0  OOOOO  ->  1  N  14  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
    101 F  1  O  15  +  0  OOOOO  ->  1  N  15  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
    102 F  1  NA 21  +  0  OOOOO  ->  1  NE 21  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
    103 F  1  AL 25  +  0  OOOOO  ->  1  MG 25  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
    104 F  1  P  29  +  0  OOOOO  ->  1  SI 29  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
    105 F  1  P  30  +  0  OOOOO  ->  1  SI 30  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   0.000E+00
    106 T  1  BI211  +  0  OOOOO  ->  1  PB207  +  1  HE  4   0.000E+00  VITAL  (g,a)  10   1.000E+00   7.127E+18
    107 T  1  PO210  +  0  OOOOO  ->  1  PB206  +  1  HE  4   0.000E+00  VITAL  (g,a)  10   1.000E+00   5.217E+18
    108 T  1  PO210  +  1  NEUT   ->  1  PB207  +  0  OOOOO   0.000E+00  VITAL  (n,g)   1   1.000E+00  -1.558E+19
    109 F  2  HE  4  +  1  NEUT   ->  1  BE  9  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   0.000E+00
    110 F  1  BE  9  +  0  OOOOO  ->  2  HE  4  +  1  NEUT    0.000E+00  VITAL  (v,v)  99   1.000E+00   0.000E+00
    111 T  1  S  34  +  1  PROT   ->  1  CL 35  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   6.147E+18
    112 T  1  CL 34  +  1  PROT   ->  1  AR 35  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   5.689E+18
    113 T  1  G  34  +  1  PROT   ->  1  AR 35  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   5.689E+18
    114 T  1  S  33  +  1  PROT   ->  1  CL 34  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   4.962E+18
    115 T  1  S  33  +  1  PROT   ->  1  G  34  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   4.962E+18
    116 T  1  CL 34  +  0  OOOOO  ->  1  S  34  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   6.054E+18
    117 T  1  G  34  +  0  OOOOO  ->  1  S  34  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   6.054E+18
    118 T  1  CL 34  +  0  OOOOO  ->  1  G  34  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   0.000E+00
    119 T  1  G  34  +  0  OOOOO  ->  1  CL 34  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   0.000E+00
    120 T  1  NEUT   +  0  OOOOO  ->  1  PROT   +  0  OOOOO   0.110E-02  LMP00  (-,g)  13   1.000E+00   0.000E+00
