 initial abundance for selected isotopes
  472   0.00000E+00  SC 54
  473   0.00000E+00  SC 55
  474   0.00000E+00  SC 56
  475   0.00000E+00  SC 57
  476   0.00000E+00  SC 58
  477   0.00000E+00  SC 59
  478   0.00000E+00  SC 60
  479   0.00000E+00  SC 61
  480   0.00000E+00  SC 62
  481   0.00000E+00  SC 63
  482   0.00000E+00  SC 64
  483   0.00000E+00  SC 65
  484   0.00000E+00  SC 66
  485   0.00000E+00  SC 67
  486   0.00000E+00  SC 68
  487   0.00000E+00  SC 69
  488   0.00000E+00  SC 70
  489   0.00000E+00  SC 71
  490   0.00000E+00  SC 72
  491   0.00000E+00  SC 73
  492   0.00000E+00  SC 74
  493   0.00000E+00  SC 75
  494   0.00000E+00  SC 76
  495   0.00000E+00  TI 34
  496   0.00000E+00  TI 35
  497   0.00000E+00  TI 36
  498   0.00000E+00  TI 37
  499   0.00000E+00  TI 38
  500   0.00000E+00  TI 39
  501   0.00000E+00  TI 40
  502   0.00000E+00  TI 41
  503   0.00000E+00  TI 42
  504   0.00000E+00  TI 43
  505   0.00000E+00  TI 44
  506   0.00000E+00  TI 45
  507   3.23178E-07  TI 46
  508   2.97700E-07  TI 47
  509   3.01377E-06  TI 48
  510   2.25733E-07  TI 49
  511   2.20801E-07  TI 50
  512   0.00000E+00  TI 51
  513   0.00000E+00  TI 52
  514   0.00000E+00  TI 53
  515   0.00000E+00  TI 54
  516   0.00000E+00  TI 55
  517   0.00000E+00  TI 56
  518   0.00000E+00  TI 57
  519   0.00000E+00  TI 58
  520   0.00000E+00  TI 59
  521   0.00000E+00  TI 60
  522   0.00000E+00  TI 61
  523   0.00000E+00  TI 62
  524   0.00000E+00  TI 63
  525   0.00000E+00  TI 64
  526   0.00000E+00  TI 65
  527   0.00000E+00  TI 66
  528   0.00000E+00  TI 67
  529   0.00000E+00  TI 68
  530   0.00000E+00  TI 69
  531   0.00000E+00  TI 70
  532   0.00000E+00  TI 71
  533   0.00000E+00  TI 72
  534   0.00000E+00  TI 73
  535   0.00000E+00  TI 74
  536   0.00000E+00  TI 75
  537   0.00000E+00  TI 76
  538   0.00000E+00  TI 77
  539   0.00000E+00  TI 78
  540   0.00000E+00  TI 79
  541   0.00000E+00  TI 80
  542   0.00000E+00  V  36
  543   0.00000E+00  V  37
  544   0.00000E+00  V  38
  545   0.00000E+00  V  39
  546   0.00000E+00  V  40
  547   0.00000E+00  V  41
  548   0.00000E+00  V  42
  549   0.00000E+00  V  43
  550   0.00000E+00  V  44
  551   0.00000E+00  V  45
  552   0.00000E+00  V  46
  553   0.00000E+00  V  47
  554   0.00000E+00  V  48
  555   0.00000E+00  V  49
  556   1.01548E-09  V  50
  557   4.13778E-07  V  51
  558   0.00000E+00  V  52
  559   0.00000E+00  V  53
  560   0.00000E+00  V  54
  561   0.00000E+00  V  55
  562   0.00000E+00  V  56
  563   0.00000E+00  V  57
  564   0.00000E+00  V  58
  565   0.00000E+00  V  59
  566   0.00000E+00  V  60
  567   0.00000E+00  V  61
  568   0.00000E+00  V  62
  569   0.00000E+00  V  63
  570   0.00000E+00  V  64
  571   0.00000E+00  V  65
  572   0.00000E+00  V  66
  573   0.00000E+00  V  67
  574   0.00000E+00  V  68
  575   0.00000E+00  V  69
  576   0.00000E+00  V  70
  577   0.00000E+00  V  71
  578   0.00000E+00  V  72
  579   0.00000E+00  V  73
  580   0.00000E+00  V  74
  581   0.00000E+00  V  75
  582   0.00000E+00  V  76
  583   0.00000E+00  V  77
  584   0.00000E+00  V  78
  585   0.00000E+00  V  79
  586   0.00000E+00  V  80
  587   0.00000E+00  V  81
  588   0.00000E+00  V  82
  589   0.00000E+00  V  83
  590   0.00000E+00  CR 38
  591   0.00000E+00  CR 39
  592   0.00000E+00  CR 40
  593   0.00000E+00  CR 41
  594   0.00000E+00  CR 42
  595   0.00000E+00  CR 43
  596   0.00000E+00  CR 44
  597   0.00000E+00  CR 45
  598   0.00000E+00  CR 46
  599   0.00000E+00  CR 47
  600   0.00000E+00  CR 48
  601   0.00000E+00  CR 49
  602   8.26538E-07  CR 50
  603   0.00000E+00  CR 51
  604   1.65759E-05  CR 52
  605   1.91562E-06  CR 53
  606   4.85795E-07  CR 54
  607   0.00000E+00  CR 55
  608   0.00000E+00  CR 56
  609   0.00000E+00  CR 57
  610   0.00000E+00  CR 58
  611   0.00000E+00  CR 59
  612   0.00000E+00  CR 60
  613   0.00000E+00  CR 61
  614   0.00000E+00  CR 62
  615   0.00000E+00  CR 63
  616   0.00000E+00  CR 64
  617   0.00000E+00  CR 65
  618   0.00000E+00  CR 66
  619   0.00000E+00  CR 67
  620   0.00000E+00  CR 68
  621   0.00000E+00  CR 69
  622   0.00000E+00  CR 70
  623   0.00000E+00  CR 71
  624   0.00000E+00  CR 72
  625   0.00000E+00  CR 73
  626   0.00000E+00  CR 74
  627   0.00000E+00  CR 75
  628   0.00000E+00  CR 76
  629   0.00000E+00  CR 77
  630   0.00000E+00  CR 78
  631   0.00000E+00  CR 79
  632   0.00000E+00  CR 80
  633   0.00000E+00  CR 81
  634   0.00000E+00  CR 82
  635   0.00000E+00  CR 83
  636   0.00000E+00  CR 84
  637   0.00000E+00  CR 85
  638   0.00000E+00  CR 86
  639   0.00000E+00  MN 40
  640   0.00000E+00  MN 41
  641   0.00000E+00  MN 42
  642   0.00000E+00  MN 43
  643   0.00000E+00  MN 44
  644   0.00000E+00  MN 45
  645   0.00000E+00  MN 46
  646   0.00000E+00  MN 47
  647   0.00000E+00  MN 48
